date,variable,value
2019-12-08,kazak,100
2019-12-15,kazak,92
2019-12-22,kazak,93
2019-12-29,kazak,94
2020-01-05,kazak,83
2020-01-12,kazak,81
2020-01-19,kazak,74
2020-01-26,kazak,68
2020-02-02,kazak,68
2020-02-09,kazak,68
2020-02-16,kazak,56
2020-02-23,kazak,40
2020-03-01,kazak,33
2020-03-08,kazak,23
2020-03-15,kazak,18
2020-03-22,kazak,19
2020-03-29,kazak,19
2020-04-05,kazak,18
2020-04-12,kazak,15
2020-04-19,kazak,16
2020-04-26,kazak,14
2020-05-03,kazak,14
2020-05-10,kazak,12
2020-05-17,kazak,10
2020-05-24,kazak,11
2020-05-31,kazak,10
2020-06-07,kazak,9
2020-06-14,kazak,9
2020-06-21,kazak,10
2020-06-28,kazak,8
2020-07-05,kazak,9
2020-07-12,kazak,9
2020-07-19,kazak,8
2020-07-26,kazak,8
2020-08-02,kazak,9
2020-08-09,kazak,9
2020-08-16,kazak,12
2020-08-23,kazak,13
2020-08-30,kazak,12
2020-09-06,kazak,17
2020-09-13,kazak,21
2020-09-20,kazak,22
2020-09-27,kazak,24
2015-10-11,kiralık ev,33
2015-10-18,kiralık ev,31
2015-10-25,kiralık ev,29
2015-11-01,kiralık ev,30
2015-11-08,kiralık ev,30
2015-11-15,kiralık ev,29
2015-11-22,kiralık ev,27
2015-11-29,kiralık ev,28
2015-12-06,kiralık ev,29
2015-12-13,kiralık ev,30
2015-12-20,kiralık ev,27
2015-12-27,kiralık ev,29
2016-01-03,kiralık ev,28
2016-01-10,kiralık ev,27
2016-01-17,kiralık ev,27
2016-01-24,kiralık ev,31
2016-01-31,kiralık ev,33
2016-02-07,kiralık ev,35
2016-02-14,kiralık ev,37
2016-02-21,kiralık ev,36
2016-02-28,kiralık ev,35
2016-03-06,kiralık ev,34
2016-03-13,kiralık ev,33
2016-03-20,kiralık ev,34
2016-03-27,kiralık ev,34
2016-04-03,kiralık ev,36
2016-04-10,kiralık ev,34
2016-04-17,kiralık ev,38
2016-04-24,kiralık ev,37
2016-05-01,kiralık ev,36
2016-05-08,kiralık ev,41
2016-05-15,kiralık ev,42
2016-05-22,kiralık ev,42
2016-05-29,kiralık ev,47
2016-06-05,kiralık ev,44
2016-06-12,kiralık ev,51
2016-06-19,kiralık ev,57
2016-06-26,kiralık ev,56
2016-07-03,kiralık ev,63
2016-07-10,kiralık ev,58
2016-07-17,kiralık ev,54
2016-07-24,kiralık ev,59
2016-07-31,kiralık ev,58
2016-08-07,kiralık ev,62
2016-08-14,kiralık ev,61
2016-08-21,kiralık ev,56
2016-08-28,kiralık ev,58
2016-09-04,kiralık ev,52
2016-09-11,kiralık ev,51
2016-09-18,kiralık ev,52
2016-09-25,kiralık ev,45
2016-10-02,kiralık ev,43
2016-10-09,kiralık ev,41
2016-10-16,kiralık ev,37
2016-10-23,kiralık ev,36
2016-10-30,kiralık ev,35
2016-11-06,kiralık ev,34
2016-11-13,kiralık ev,33
2016-11-20,kiralık ev,32
2016-11-27,kiralık ev,34
2016-12-04,kiralık ev,32
2016-12-11,kiralık ev,34
2016-12-18,kiralık ev,34
2016-12-25,kiralık ev,33
2017-01-01,kiralık ev,33
2017-01-08,kiralık ev,33
2017-01-15,kiralık ev,37
2017-01-22,kiralık ev,36
2017-01-29,kiralık ev,38
2017-02-05,kiralık ev,40
2017-02-12,kiralık ev,40
2017-02-19,kiralık ev,41
2017-02-26,kiralık ev,41
2017-03-05,kiralık ev,41
2017-03-12,kiralık ev,41
2017-03-19,kiralık ev,42
2017-03-26,kiralık ev,41
2017-04-02,kiralık ev,41
2017-04-09,kiralık ev,41
2017-04-16,kiralık ev,40
2017-04-23,kiralık ev,41
2017-04-30,kiralık ev,49
2017-05-07,kiralık ev,47
2017-05-14,kiralık ev,48
2017-05-21,kiralık ev,50
2017-05-28,kiralık ev,51
2017-06-04,kiralık ev,56
2017-06-11,kiralık ev,59
2017-06-18,kiralık ev,60
2017-06-25,kiralık ev,79
2017-07-02,kiralık ev,77
2017-07-09,kiralık ev,72
2017-07-16,kiralık ev,71
2017-07-23,kiralık ev,71
2017-07-30,kiralık ev,72
2017-08-06,kiralık ev,74
2017-08-13,kiralık ev,68
2017-08-20,kiralık ev,61
2017-08-27,kiralık ev,53
2017-09-03,kiralık ev,63
2017-09-10,kiralık ev,59
2017-09-17,kiralık ev,54
2017-09-24,kiralık ev,49
2017-10-01,kiralık ev,47
2017-10-08,kiralık ev,44
2017-10-15,kiralık ev,42
2017-10-22,kiralık ev,41
2017-10-29,kiralık ev,40
2017-11-05,kiralık ev,38
2017-11-12,kiralık ev,37
2017-11-19,kiralık ev,37
2017-11-26,kiralık ev,35
2017-12-03,kiralık ev,37
2017-12-10,kiralık ev,38
2017-12-17,kiralık ev,37
2017-12-24,kiralık ev,38
2017-12-31,kiralık ev,37
2018-01-07,kiralık ev,40
2018-01-14,kiralık ev,37
2018-01-21,kiralık ev,38
2018-01-28,kiralık ev,40
2018-02-04,kiralık ev,42
2018-02-11,kiralık ev,39
2018-02-18,kiralık ev,42
2018-02-25,kiralık ev,42
2018-03-04,kiralık ev,45
2018-03-11,kiralık ev,42
2018-03-18,kiralık ev,41
2018-03-25,kiralık ev,46
2018-04-01,kiralık ev,45
2018-04-08,kiralık ev,45
2018-04-15,kiralık ev,49
2018-04-22,kiralık ev,46
2018-04-29,kiralık ev,47
2018-05-06,kiralık ev,46
2018-05-13,kiralık ev,47
2018-05-20,kiralık ev,50
2018-05-27,kiralık ev,51
2018-06-03,kiralık ev,56
2018-06-10,kiralık ev,60
2018-06-17,kiralık ev,69
2018-06-24,kiralık ev,68
2018-07-01,kiralık ev,80
2018-07-08,kiralık ev,81
2018-07-15,kiralık ev,82
2018-07-22,kiralık ev,82
2018-07-29,kiralık ev,81
2018-08-05,kiralık ev,70
2018-08-12,kiralık ev,68
2018-08-19,kiralık ev,74
2018-08-26,kiralık ev,73
2018-09-02,kiralık ev,71
2018-09-09,kiralık ev,60
2018-09-16,kiralık ev,57
2018-09-23,kiralık ev,51
2018-09-30,kiralık ev,48
2018-10-07,kiralık ev,46
2018-10-14,kiralık ev,44
2018-10-21,kiralık ev,40
2018-10-28,kiralık ev,43
2018-11-04,kiralık ev,39
2018-11-11,kiralık ev,38
2018-11-18,kiralık ev,37
2018-11-25,kiralık ev,38
2018-12-02,kiralık ev,40
2018-12-09,kiralık ev,41
2018-12-16,kiralık ev,42
2018-12-23,kiralık ev,43
2018-12-30,kiralık ev,41
2019-01-06,kiralık ev,43
2019-01-13,kiralık ev,43
2019-01-20,kiralık ev,46
2019-01-27,kiralık ev,49
2019-02-03,kiralık ev,53
2019-02-10,kiralık ev,49
2019-02-17,kiralık ev,54
2019-02-24,kiralık ev,48
2019-03-03,kiralık ev,48
2019-03-10,kiralık ev,46
2019-03-17,kiralık ev,49
2019-03-24,kiralık ev,49
2019-03-31,kiralık ev,44
2019-04-07,kiralık ev,51
2019-04-14,kiralık ev,53
2019-04-21,kiralık ev,51
2019-04-28,kiralık ev,54
2019-05-05,kiralık ev,46
2019-05-12,kiralık ev,57
2019-05-19,kiralık ev,60
2019-05-26,kiralık ev,59
2019-06-02,kiralık ev,77
2019-06-09,kiralık ev,77
2019-06-16,kiralık ev,77
2019-06-23,kiralık ev,83
2019-06-30,kiralık ev,91
2019-07-07,kiralık ev,90
2019-07-14,kiralık ev,84
2019-07-21,kiralık ev,89
2019-07-28,kiralık ev,83
2019-08-04,kiralık ev,83
2019-08-11,kiralık ev,91
2019-08-18,kiralık ev,86
2019-08-25,kiralık ev,84
2019-09-01,kiralık ev,77
2019-09-08,kiralık ev,68
2019-09-15,kiralık ev,61
2019-09-22,kiralık ev,56
2019-09-29,kiralık ev,58
2019-10-06,kiralık ev,53
2019-10-13,kiralık ev,51
2019-10-20,kiralık ev,49
2019-10-27,kiralık ev,48
2019-11-03,kiralık ev,47
2019-11-10,kiralık ev,47
2019-11-17,kiralık ev,46
2019-11-24,kiralık ev,44
2019-12-01,kiralık ev,45
2019-12-08,kiralık ev,45
2019-12-15,kiralık ev,47
2019-12-22,kiralık ev,45
2019-12-29,kiralık ev,45
2020-01-05,kiralık ev,48
2020-01-12,kiralık ev,49
2020-01-19,kiralık ev,49
2020-01-26,kiralık ev,56
2020-02-02,kiralık ev,55
2020-02-09,kiralık ev,50
2020-02-16,kiralık ev,55
2020-02-23,kiralık ev,48
2020-03-01,kiralık ev,55
2020-03-08,kiralık ev,51
2020-03-15,kiralık ev,41
2020-03-22,kiralık ev,37
2020-03-29,kiralık ev,33
2020-04-05,kiralık ev,35
2020-04-12,kiralık ev,39
2020-04-19,kiralık ev,40
2020-04-26,kiralık ev,45
2020-05-03,kiralık ev,49
2020-05-10,kiralık ev,58
2020-05-17,kiralık ev,62
2020-05-24,kiralık ev,71
2020-05-31,kiralık ev,79
2020-06-07,kiralık ev,83
2020-06-14,kiralık ev,84
2020-06-21,kiralık ev,86
2020-06-28,kiralık ev,99
2020-07-05,kiralık ev,98
2020-07-12,kiralık ev,97
2020-07-19,kiralık ev,95
2020-07-26,kiralık ev,93
2020-08-02,kiralık ev,100
2020-08-09,kiralık ev,96
2020-08-16,kiralık ev,84
2020-08-23,kiralık ev,91
2020-08-30,kiralık ev,75
2020-09-06,kiralık ev,67
2020-09-13,kiralık ev,66
2020-09-20,kiralık ev,61
2020-09-27,kiralık ev,59
2015-10-11,google,98
2015-10-18,google,98
2015-10-25,google,100
2015-11-01,google,96
2015-11-08,google,97
2015-11-15,google,96
2015-11-22,google,95
2015-11-29,google,95
2015-12-06,google,98
2015-12-13,google,98
2015-12-20,google,97
2015-12-27,google,95
2016-01-03,google,91
2016-01-10,google,87
2016-01-17,google,86
2016-01-24,google,88
2016-01-31,google,89
2016-02-07,google,87
2016-02-14,google,88
2016-02-21,google,88
2016-02-28,google,87
2016-03-06,google,86
2016-03-13,google,84
2016-03-20,google,86
2016-03-27,google,85
2016-04-03,google,83
2016-04-10,google,82
2016-04-17,google,84
2016-04-24,google,83
2016-05-01,google,79
2016-05-08,google,80
2016-05-15,google,77
2016-05-22,google,75
2016-05-29,google,75
2016-06-05,google,73
2016-06-12,google,77
2016-06-19,google,75
2016-06-26,google,78
2016-07-03,google,84
2016-07-10,google,77
2016-07-17,google,77
2016-07-24,google,76
2016-07-31,google,74
2016-08-07,google,75
2016-08-14,google,75
2016-08-21,google,71
2016-08-28,google,71
2016-09-04,google,69
2016-09-11,google,76
2016-09-18,google,72
2016-09-25,google,73
2016-10-02,google,73
2016-10-09,google,72
2016-10-16,google,72
2016-10-23,google,71
2016-10-30,google,72
2016-11-06,google,69
2016-11-13,google,69
2016-11-20,google,68
2016-11-27,google,67
2016-12-04,google,66
2016-12-11,google,66
2016-12-18,google,68
2016-12-25,google,66
2017-01-01,google,64
2017-01-08,google,62
2017-01-15,google,64
2017-01-22,google,64
2017-01-29,google,62
2017-02-05,google,63
2017-02-12,google,65
2017-02-19,google,66
2017-02-26,google,64
2017-03-05,google,63
2017-03-12,google,62
2017-03-19,google,63
2017-03-26,google,61
2017-04-02,google,61
2017-04-09,google,59
2017-04-16,google,60
2017-04-23,google,63
2017-04-30,google,64
2017-05-07,google,63
2017-05-14,google,62
2017-05-21,google,60
2017-05-28,google,58
2017-06-04,google,58
2017-06-11,google,57
2017-06-18,google,59
2017-06-25,google,62
2017-07-02,google,61
2017-07-09,google,63
2017-07-16,google,61
2017-07-23,google,62
2017-07-30,google,60
2017-08-06,google,59
2017-08-13,google,58
2017-08-20,google,58
2017-08-27,google,59
2017-09-03,google,57
2017-09-10,google,56
2017-09-17,google,58
2017-09-24,google,59
2017-10-01,google,60
2017-10-08,google,60
2017-10-15,google,60
2017-10-22,google,58
2017-10-29,google,58
2017-11-05,google,58
2017-11-12,google,57
2017-11-19,google,56
2017-11-26,google,56
2017-12-03,google,57
2017-12-10,google,56
2017-12-17,google,56
2017-12-24,google,54
2017-12-31,google,54
2018-01-07,google,53
2018-01-14,google,52
2018-01-21,google,53
2018-01-28,google,53
2018-02-04,google,53
2018-02-11,google,53
2018-02-18,google,53
2018-02-25,google,52
2018-03-04,google,52
2018-03-11,google,51
2018-03-18,google,51
2018-03-25,google,52
2018-04-01,google,50
2018-04-08,google,49
2018-04-15,google,50
2018-04-22,google,50
2018-04-29,google,48
2018-05-06,google,49
2018-05-13,google,47
2018-05-20,google,46
2018-05-27,google,45
2018-06-03,google,44
2018-06-10,google,44
2018-06-17,google,46
